date,signal-date,symbol,industry,direction,kk,sl,tp,risk,entry,exit,status,duration,r,r_sum
2024-03-15,2024-03-14,cc,Specialty Chemicals,SHORT,26.19,27.45,23.75,1.3,,,,,,
2024-03-15,2024-03-14,eypt,Biotechnology,LONG,22.51,20.86,25.75,1.7,22.51,23.42,TE,5.0,0.6,12.4
2024-03-18,2024-03-15,viav,Communication Equipment,LONG,10.01,9.62,10.73,0.4,,,,,,
2024-03-18,2024-03-15,cc,Specialty Chemicals,SHORT,26.49,27.7,24.16,1.2,,,,,,
2024-03-18,2024-03-15,pstg,Computer Hardware,LONG,51.15,48.88,55.55,2.3,,,,,,
2024-03-18,2024-03-15,pltr,Software - Infrastructure,LONG,24.12,22.87,26.57,1.2,24.12,24.18,TE,5.0,0.0,12.4
2024-03-18,2024-03-15,net,Software - Infrastructure,LONG,93.77,89.91,101.22,3.9,93.77,96.57,TE,5.0,0.7,13.1
2024-03-18,2024-03-15,iova,Biotechnology,LONG,14.41,13.37,16.42,1.0,14.41,15.02,TE,5.0,0.6,13.7
2024-03-18,2024-03-15,cldx,Biotechnology,LONG,43.25,41.02,47.58,2.2,,,,,,
2024-03-18,2024-03-15,cohr,Scientific & Technical Instruments,LONG,59.87,57.33,64.78,2.5,59.93,57.33,SL,1.0,-1.0,12.7
2024-03-18,2024-03-15,ttd,Software—Application,LONG,78.13,76.17,81.81,2.0,78.13,81.81,TP,2.0,1.9,14.6
2024-03-19,2024-03-18,cc,Specialty Chemicals,SHORT,27.01,28.19,24.74,1.2,,,,,,
2024-03-19,2024-03-18,dv,Software - Application,SHORT,32.67,33.83,30.45,1.2,,,,,,
2024-03-19,2024-03-18,ahco,Medical Devices,LONG,10.38,9.93,11.22,0.5,10.38,11.22,TP,3.0,1.9,16.5
2024-03-19,2024-03-18,cldx,Biotechnology,LONG,42.44,40.41,46.38,2.0,,,,,,
2024-03-20,2024-03-19,cldx,Biotechnology,LONG,41.42,39.45,45.23,2.0,41.42,41.04,TE,5.0,-0.2,16.3
2024-03-20,2024-03-19,pstg,Computer Hardware,LONG,50.5,48.28,54.79,2.2,50.5,52.17,TE,5.0,0.8,17.0
2024-03-20,2024-03-19,celh,Beverages - Non-Alcoholic,LONG,87.87,83.37,96.63,4.5,87.87,91.22,TE,5.0,0.7,17.8
2024-03-25,2024-03-22,mgnx,Biotechnology,LONG,15.54,14.53,17.5,1.0,,,,,,
2024-03-26,2024-03-25,mgnx,Biotechnology,LONG,14.58,13.65,16.38,0.9,14.59,13.65,SL,4.0,-1.0,16.7
2024-03-26,2024-03-25,mgni,Advertising Agencies,LONG,10.55,10.13,11.32,0.4,10.55,10.13,SL,4.0,-1.0,15.7
2024-03-27,2024-03-26,mgnx,Biotechnology,LONG,14.74,13.86,16.43,0.9,14.74,13.86,SL,2.0,-1.0,14.7
2024-03-28,2024-03-27,anf,Apparel Retail,LONG,123.85,118.62,133.95,5.2,123.85,133.95,TP,3.0,1.9,16.7
2024-04-02,2024-04-01,mod,Auto Parts,LONG,97.41,93.44,105.08,4.0,,,,,,
2024-04-02,2024-04-01,celh,Beverages - Non-Alcoholic,LONG,85.57,81.62,93.23,3.9,,,,,,
2024-04-02,2024-04-01,bhvn,Biotechnology,LONG,54.74,52.12,59.84,2.6,,,,,,
2024-04-03,2024-04-02,hims,Household & Personal Products,LONG,15.36,14.63,16.76,0.7,15.36,14.63,SL,1.0,-1.0,15.7
2024-04-03,2024-04-02,lyft,Software - Application,LONG,18.84,17.93,20.6,0.9,,,,,,
2024-04-03,2024-04-02,rkt,Mortgage Finance,LONG,13.7,13.05,14.94,0.6,,,,,,
2024-04-03,2024-04-02,bros,Restaurants,LONG,32.59,31.35,34.99,1.2,32.59,32.7,TE,5.0,0.1,15.8
2024-04-04,2024-04-03,iot,Software - Infrastructure,LONG,35.46,33.94,38.42,1.5,,,,,,
2024-04-04,2024-04-03,cc,Specialty Chemicals,SHORT,27.52,29.06,24.53,1.5,27.52,27.51,TE,5.0,0.0,15.8
2024-04-05,2024-04-04,iot,Software - Infrastructure,LONG,35.41,33.88,38.39,1.5,,,,,,
